index,name,mass,px,py,vx,vy,total_fx,total_fy
Sun,Sun,1.99E+30,0,0,0,0,0,0
Mercury,Mercury,3.30E+23,0,57900812779,47875.85414,0,0,0
Venus,Venus,4.87E+24,1.08E+11,0,-2.15E-12,-35022.10023,0,0
Earth,Earth,5.97E+24,-1.50E+11,0,5.47E-12,29784.68892,0,0
Mars,Mars,6.42E+23,2.28E+11,0,-1.48E-12,-24131.46312,0,0
Jupiter,Jupiter,1.90E+27,6.74E+11,-3.89E+11,6527.826781,-11306.52765,0,0
Saturn,Saturn,5.68E+26,7.17E+11,-1.24E+12,8332.735568,-4810.907123,0,0
 Chiron, Chiron,4.00E+18,2.00E+12,-4.27E+11,1686.538582,-7887.241766,0,0
Uranus,Uranus,8.68E+25,0.000351929,-2.87E+12,6797.133477,-8.33E-13,0,0
Neptune,Neptune,1.02E+26,-2.25E+12,-3.89E+12,4705.619099,2716.790454,0,0
Pluto,Pluto,1.46E+22,-5.12E+12,-2.95E+12,2370.087576,4105.1121,0,0
